No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
183,bmg2023mgka,2023-06-24T06:18:59.17464Z,-1.997754693,100.0213776,3.704074781,MLv,10,43,133.1766052,"Southern Sumatra, Indonesia",BMKG
169,bmg2023mhnp,2023-06-24T21:15:36.962136Z,-4.941442966,101.9200897,3.694100383,MLv,38,44,181.7362366,"Southern Sumatra, Indonesia",BMKG
165,bmg2023micl,2023-06-25T04:45:33.177926Z,-5.886764526,103.3477249,3.750176917,MLv,12,39,189.0639648,"Southern Sumatra, Indonesia",BMKG
107,bmg2023mlvd,2023-06-27T05:36:25.698127Z,-5.849673748,103.3861465,3.482922643,MLv,14,27,203.3307724,"Southern Sumatra, Indonesia",BMKG
86,bmg2023mocb,2023-06-28T11:21:59.660126Z,-0.820404291,99.8303833,3.035269066,MLv,36,14,246.5850894,"Southern Sumatra, Indonesia",BMKG
44,bmg2023mqfy,2023-06-29T15:36:09.611433Z,-1.842732191,100.3601837,3.684562056,MLv,24,56,103.1485138,"Southern Sumatra, Indonesia",BMKG
41,bmg2023mqiw,2023-06-29T17:04:53.645214Z,-1.848314524,100.372467,3.359555951,MLv,24,55,103.6372833,"Southern Sumatra, Indonesia",BMKG
684,bmg2023mvfa,2023-07-02T08:48:50.717831Z,-1.730448842,101.5865097,2.483826242,MLv,101,24,169.4532013,"Southern Sumatra, Indonesia",BMKG
669,bmg2023mvzz,2023-07-02T19:24:28.949263Z,-5.759585381,103.8715057,3.235520828,MLv,35,23,211.4500198,"Southern Sumatra, Indonesia",BMKG
636,bmg2023myby,2023-07-03T22:40:56.188972Z,-2.014979839,100.4724426,3.214181163,MLv,20,49,137.6060486,"Southern Sumatra, Indonesia",BMKG
622,bmg2023mzge,2023-07-04T13:57:01.544452Z,-3.860874653,102.4370956,3.766491181,MLv,11,52,100.5908203,"Southern Sumatra, Indonesia",BMKG
612,bmg2023mzvz,2023-07-04T21:55:43.019808Z,-1.220716953,101.5082932,2.947151305,MLv,178,53,138.8588562,"Southern Sumatra, Indonesia",BMKG
588,bmg2023ncbh,2023-07-06T02:52:51.236769Z,-5.29778862,103.8381958,3.322611065,MLv,54,40,142.471489,"Southern Sumatra, Indonesia",BMKG
584,bmg2023nckr,2023-07-06T07:37:52.041063Z,-4.319668293,102.1589279,3.592215244,MLv,29,41,160.2270966,"Southern Sumatra, Indonesia",BMKG
